gene_id	direction
AT4G23060	down
AT1G23480	down
AT1G29290	down
AT2G29440	down
AT1G72070	down
AT5G63320	down
AT3G23920	down
AT3G05360	down
AT5G04140	down
AT3G16220	down
AT2G34420	down
AT5G22270	down
AT3G14770	down
AT1G47580	down
AT4G17970	down
AT4G13230	down
AT5G46590	down
AT2G29460	down
AT5G59580	down
AT4G17070	down
AT2G45050	down
AT2G07560	down
AT1G47510	down
AT5G39670	down
AT2G45450	down
AT5G59120	down
AT5G01600	down
AT5G28470	down
AT1G03495	down
AT1G29720	down
AT5G40260	down
AT2G46370	down
AT5G48140	down
AT1G49730	down
AT5G46940	down
AT5G43180	down
AT2G40750	down
AT3G08560	down
AT1G48100	down
AT5G21020	down
AT2G03200	down
AT3G60930	down
AT3G20340	down
AT1G33700	down
AT5G15850	down
AT1G05340	down
AT1G01470	down
AT5G17420	down
AT1G28390	down
AT3G63530	down
AT2G37170	down
AT2G27690	down
AT3G57460	down
AT4G15920	down
AT1G77120	down
AT5G66650	down
AT3G59060	down
AT2G36380	down
AT1G10470	down
AT4G01026	down
AT4G31620	down
AT5G18910	down
AT5G47640	down
AT1G73920	down
AT2G44080	down
AT1G22400	down
AT1G22190	down
AT2G47990	down
AT1G18960	down
AT4G34770	down
AT3G10910	down
AT3G10912	down
AT5G26200	down
AT1G31040	down
AT4G34610	down
AT3G49940	down
AT4G14365	down
AT4G33666	down
AT2G16750	down
AT1G05810	down
AT5G07070	down
AT5G28290	down
AT1G54450	down
AT1G72770	down
AT1G41830	down
AT3G56260	down
AT3G06220	down
AT4G02280	down
AT2G46830	down
AT1G68360	down
AT2G43620	down
AT1G76380	down
AT5G62310	down
AT2G40990	down
AT3G27870	down
AT5G53190	down
AT5G23360	down
AT1G26945	down
AT2G30500	down
AT4G28780	down
AT3G63240	down
AT1G25580	down
AT3G62260	down
AT5G55480	down
AT5G54510	down
AT5G57660	down
AT5G02810	down
AT5G05100	down
AT3G14520	down
AT5G04250	down
AT4G27950	down
AT3G13610	down
AT1G04670	down
AT3G11050	down
AT1G34355	down
AT4G21380	down
AT5G60850	down
AT4G00310	down
AT3G62090	down
AT5G56750	down
AT3G06500	down
AT4G28490	down
AT1G69570	down
AT1G03457	down
AT3G05650	down
AT5G39420	down
AT1G30820	down
AT3G54720	down
AT4G24960	down
AT5G39090	down
AT4G10440	down
AT2G17820	down
AT5G18270	down
AT3G25780	down
AT5G42440	down
AT1G55152	down
AT5G39610	down
AT1G66880	down
AT1G60140	down
AT3G57010	down
AT1G73390	down
AT3G47580	down
AT3G44940	down
AT1G32190	down
AT5G54200	down
AT4G34970	down
AT5G05190	down
AT3G03910	down
AT3G47470	down
AT5G58460	down
AT5G15600	down
AT5G65450	down
AT3G20640	down
AT1G64380	down
AT5G58070	down
AT1G30760	down
AT3G16800	down
AT4G28100	down
AT2G05100	down
AT1G01720	down
AT3G04630	down
AT2G37580	down
AT1G11130	down
AT4G33860	down
AT4G37540	down
AT2G32220	down
AT5G23120	down
AT5G43150	down
AT2G05910	down
AT5G40850	down
AT5G59790	down
AT1G69252	down
AT2G32160	down
AT2G05070	down
AT3G48720	down
AT3G51440	down
AT2G19810	down
AT3G63210	down
AT5G56510	down
AT5G08630	down
AT3G47620	down
AT3G48100	down
AT5G04340	down
AT3G01820	down
AT3G53420	down
AT1G52570	down
AT4G17340	down
AT2G46310	down
AT3G01860	down
AT3G57760	down
AT1G79270	down
AT2G43800	down
AT5G61010	down
AT4G36090	down
AT4G10290	down
AT5G41750	down
AT1G75040	down
AT4G36500	down
AT2G29650	down
AT5G61680	down
AT3G18010	down
AT1G76970	down
AT1G33360	down
AT2G28380	down
AT3G11600	down
AT2G39850	down
AT1G34210	down
AT1G05570	down
AT4G34850	down
AT3G51895	down
AT2G28890	down
AT1G69610	down
AT5G22250	down
AT3G43270	down
AT3G51920	down
AT4G02810	down
AT1G05680	down
AT3G53460	down
AT5G65160	down
AT2G33380	down
AT1G61890	down
AT1G29930	down
AT4G25670	down
AT5G13180	down
AT4G34120	down
AT1G18650	down
AT5G38130	down
AT3G25717	down
AT2G31410	down
AT2G26355	down
AT4G21120	down
AT5G61020	down
AT1G03710	down
AT1G78950	down
AT5G13170	down
AT2G14878	down
AT1G67800	down
AT1G55860	down
AT2G23360	down
AT4G37250	down
AT3G28200	down
AT5G66080	down
AT1G74790	down
AT2G03760	down
AT2G39200	down
AT2G31400	down
AT2G26690	down
AT2G37640	down
AT1G62570	down
AT4G36010	down
AT3G25440	down
AT1G68320	down
AT1G51130	down
AT5G24280	down
AT4G05020	down
AT2G31880	down
AT2G26980	down
AT3G55100	down
AT4G37790	down
AT5G06110	down
AT5G49800	down
AT3G50950	down
AT4G31780	down
AT5G22300	down
AT4G35780	down
AT4G34881	down
AT5G62190	down
AT1G62930	down
AT2G47440	down
AT1G16960	down
AT3G25890	down
AT2G34655	down
AT1G22030	down
AT5G60930	down
AT1G22650	down
AT5G56210	down
AT5G26340	down
AT1G03400	down
AT3G13222	down
AT3G44050	down
AT5G02480	down
AT1G27730	down
AT2G21240	down
AT1G63980	down
AT4G14080	down
AT5G53050	down
AT1G05630	down
AT3G27415	down
AT4G36930	down
AT3G15990	down
AT4G12620	down
AT1G12580	down
AT5G01100	down
AT2G27500	down
AT1G25550	down
AT5G53460	down
AT4G09670	down
AT5G01890	down
AT4G12410	down
AT1G65480	down
AT1G75180	down
AT4G16860	down
AT1G15460	down
AT4G14560	down
AT1G08000	down
AT4G36730	down
AT1G06850	down
AT5G48412	down
AT2G40230	down
AT5G63580	down
AT5G60790	down
AT3G62130	down
AT2G41550	down
AT3G09710	down
AT1G52980	down
AT2G22800	down
AT5G53970	down
AT5G53200	down
AT4G12000	down
AT2G44260	down
AT3G11450	down
AT4G08980	down
AT5G39660	down
AT3G56210	down
AT1G54860	down
AT1G17110	down
AT5G42950	down
AT5G15330	down
AT3G06250	down
AT2G20635	down
AT2G13790	down
AT2G31585	down
AT5G57910	down
AT1G47530	down
AT1G01110	down
AT3G61430	down
AT1G71030	down
AT1G07630	down
AT3G50890	down
AT2G22470	down
AT1G01780	down
AT4G14740	down
AT4G16141	down
AT4G21570	down
AT1G51745	down
AT3G58050	down
AT4G18050	down
AT3G12915	down
AT3G54080	down
AT2G25900	down
AT2G25620	down
AT4G35160	down
AT3G15210	down
AT5G66052	down
AT5G14050	down
AT2G47420	down
AT5G43330	down
AT1G33110	down
AT4G01120	down
AT1G58235	down
AT5G20950	down
AT1G13170	down
AT1G76520	down
AT4G29840	down
AT4G26760	down
AT1G08500	down
AT5G64170	down
AT2G24990	down
AT1G12420	down
AT5G15650	down
AT1G04530	down
AT5G18310	down
AT1G06080	down
AT5G13200	down
AT1G29330	down
AT2G24500	down
AT4G27260	down
AT3G19100	down
AT4G09830	down
AT5G38850	down
AT1G08450	down
AT2G31955	down
AT5G05480	down
AT5G50670	down
AT5G12480	down
AT5G38120	down
AT1G01620	down
AT4G29950	down
AT4G08390	down
AT3G23050	down
AT1G61520	down
AT4G10960	down
AT1G62710	down
AT2G03090	down
AT4G13990	down
AT5G15870	down
AT1G77680	down
AT5G23430	down
AT5G13320	down
AT4G15780	down
AT5G59130	down
AT2G40130	down
AT1G34370	down
AT2G13680	down
AT1G69270	down
AT3G28820	down
AT1G77080	down
AT4G32060	down
AT2G46510	down
AT4G25290	down
AT2G44940	down
AT1G19400	down
AT5G42990	down
AT5G53140	down
AT1G30270	down
AT1G49760	down
AT3G54500	down
AT2G35630	down
AT5G13630	down
AT5G02840	down
AT2G34430	down
AT3G55340	down
AT1G01650	down
AT5G14760	down
AT1G63180	down
AT5G15310	down
AT4G30490	down
AT4G03400	down
AT3G62110	down
AT4G30410	down
AT3G16910	down
AT2G04080	down
AT5G27350	down
AT2G16700	down
AT5G14520	down
AT5G41810	down
AT5G11520	down
AT5G62350	down
AT4G02820	down
AT2G37400	down
AT2G36930	down
AT1G55570	down
AT3G12320	down
AT1G61740	down
AT3G27470	down
AT5G67240	down
AT2G22450	down
AT3G13510	down
AT1G64400	down
AT5G16750	down
AT5G25780	down
AT2G30070	down
AT5G26742	down
AT3G54960	down
AT1G78080	down
AT5G62220	down
AT2G23000	down
AT4G35560	down
AT4G25040	down
AT5G55970	down
AT1G06040	down
AT4G19960	down
AT4G25320	down
AT1G53490	down
AT2G30740	down
AT2G47730	down
AT1G79520	down
AT2G20300	down
AT3G03710	down
AT1G58200	down
AT2G18110	down
AT5G07920	down
AT1G44350	down
AT5G42570	down
AT5G19820	down
AT5G09550	down
AT5G48240	down
AT1G35516	down
AT2G38010	down
AT5G20600	down
AT1G78230	down
AT4G00440	down
AT5G59480	down
AT4G39800	down
AT5G11720	down
AT5G55070	down
AT5G12900	down
AT3G61580	down
AT1G69830	down
AT5G25475	down
AT1G18850	down
AT5G43450	down
AT1G20670	down
AT1G21380	down
AT3G12920	down
AT4G34740	down
AT5G48150	down
AT2G38000	down
AT1G70610	down
AT1G27470	down
AT1G57610	down
AT1G12650	down
AT5G52820	down
AT5G24690	down
AT1G09910	down
AT3G13870	down
AT4G25030	down
AT1G80750	down
AT3G07880	down
AT4G02220	down
AT2G23320	down
AT4G35550	down
AT3G18600	down
AT2G42500	down
AT2G28600	down
AT5G05060	down
AT3G54790	down
AT4G24020	down
AT4G04340	up
AT5G65460	up
AT3G47860	up
AT3G49500	up
AT1G53910	up
AT1G54340	up
AT3G13320	up
AT1G08260	up
AT5G42980	up
AT4G11820	up
AT4G14070	up
AT5G19780	up
AT4G20010	up
AT1G23080	up
AT1G13270	up
AT4G38620	up
AT4G36380	up
AT3G02040	up
AT5G37770	up
AT5G11530	up
AT3G61070	up
AT4G01840	up
AT5G61460	up
AT3G18820	up
AT1G43900	up
AT5G11070	up
AT1G27460	up
AT2G26510	up
AT5G48960	up
AT2G30720	up
AT5G18480	up
AT3G05990	up
AT2G36310	up
AT3G15690	up
AT5G10160	up
AT3G54750	up
AT1G35460	up
AT1G29040	up
AT3G47590	up
AT4G15940	up
AT1G20560	up
AT5G02790	up
AT1G58440	up
AT3G23490	up
AT4G02370	up
AT1G09850	up
AT3G19000	up
AT1G14980	up
AT3G15030	up
AT1G52880	up
AT1G02816	up
AT1G25220	up
AT4G22240	up
AT5G17010	up
AT5G17520	up
AT1G65970	up
AT1G07380	up
AT4G19160	up
AT3G45310	up
AT1G04350	up
AT4G09340	up
AT1G02300	up
AT1G27385	up
AT1G75270	up
AT5G07830	up
AT5G35560	up
AT3G02870	up
AT3G57800	up
AT5G19380	up
AT4G01610	up
AT4G33640	up
AT5G41120	up
AT4G33625	up
AT2G34690	up
AT3G06590	up
AT3G03110	up
AT3G20280	up
AT5G45280	up
AT2G35635	up
AT1G77600	up
AT3G55980	up
AT2G22480	up
AT5G54800	up
AT4G09200	up
AT4G09310	up
AT1G07230	up
AT5G45720	up
AT5G53760	up
AT2G20900	up
AT1G14360	up
AT4G30440	up
AT3G01930	up
AT5G02100	up
AT5G23210	up
AT5G57830	up
AT1G75380	up
AT3G45640	up
AT5G48460	up
AT1G26960	up
AT1G03310	up
AT5G41990	up
AT5G41992	up
AT5G58970	up
AT1G01430	up
AT1G78820	up
AT5G19140	up
AT3G21230	up
AT5G21100	up
AT1G54630	up
AT3G03640	up
AT1G74090	up
AT5G17310	up
AT3G06550	up
AT5G40370	up
AT1G53230	up
AT1G28100	up
AT2G32560	up
AT1G14690	up
AT3G50530	up
AT4G17870	up
AT5G03140	up
AT3G58790	up
AT5G48900	up
AT3G59140	up
AT1G55140	up
AT2G44210	up
AT1G32860	up
AT1G55520	up
AT4G12980	up
AT5G63930	up
AT1G47240	up
AT5G20120	up
AT5G45550	up
AT1G12050	up
AT3G12610	up
AT3G14410	up
AT2G28950	up
AT1G78680	up
AT1G77320	up
AT1G29170	up
AT1G74210	up
AT5G66750	up
AT3G27580	up
AT1G56140	up
AT1G51940	up
AT2G39890	up
AT5G26570	up
AT4G13360	up
AT1G19570	up
AT2G35810	up
AT1G05060	up
AT3G17250	up
AT5G18200	up
AT5G59700	up
AT1G72630	up
AT4G14680	up
AT5G01630	up
AT3G09390	up
AT5G23280	up
AT1G06640	up
AT3G22760	up
AT1G11800	up
AT5G63850	up
AT5G25900	up
AT5G63710	up
AT4G38650	up
AT1G12880	up
AT1G29530	up
AT5G16240	up
AT5G47060	up
AT1G60740	up
AT4G39210	up
AT1G63160	up
AT1G54580	up
AT1G15260	up
AT3G52470	up
AT5G65020	up
AT1G79530	up
AT2G26170	up
AT3G51420	up
AT1G17100	up
AT4G02540	up
AT5G24420	up
AT1G61000	up
AT1G68260	up
AT2G20700	up
AT1G69120	up
AT4G24210	up
AT2G16630	up
AT5G66590	up
AT2G43780	up
AT2G31070	up
AT5G43745	up
AT5G54240	up
AT3G54140	up
AT3G05120	up
AT2G24280	up
AT4G16360	up
AT1G75280	up
AT3G46540	up
AT1G13280	up
AT1G16880	up
AT2G46620	up
AT3G55730	up
AT5G24760	up
AT5G23050	up
AT5G03630	up
AT1G79710	up
AT4G03230	up
AT2G04240	up
AT5G20700	up
AT2G25190	up
AT5G59810	up
AT2G03980	up
AT5G45960	up
AT1G27980	up
AT3G13450	up
AT5G13240	up
AT1G18880	up
AT1G72300	up
AT3G12520	up
AT3G16040	up
AT1G35180	up
AT5G63410	up
AT3G05030	up
AT2G24220	up
AT3G24560	up
AT2G29340	up
AT3G09150	up
AT2G29670	up
AT2G34490	up
AT5G20010	up
AT4G24350	up
AT4G01900	up
AT3G02050	up
AT4G38730	up
AT1G14040	up
AT5G24770	up
AT2G45290	up
AT5G15860	up
AT5G38420	up
AT2G44280	up
AT3G01980	up
AT3G24360	up
AT5G23530	up
AT3G59430	up
AT1G07350	up
AT4G14010	up
AT2G17230	up
AT1G14820	up
AT2G35190	up
AT1G70090	up
AT5G48880	up
AT4G11320	up
AT3G01230	up
AT1G20090	up
AT1G18210	up
AT3G27810	up
AT1G64270	up
AT2G17280	up
AT1G56080	up
AT2G22970	up
AT2G16530	up
AT2G43910	up
AT5G63950	up
AT2G36050	up
AT1G25275	up
AT3G15353	up
AT3G23910	up
AT4G32980	up
AT3G54820	up
AT2G43550	up
AT1G54820	up
AT5G27000	up
AT2G21940	up
AT2G20100	up
AT3G05910	up
AT5G56040	up
AT4G09020	up
AT4G38460	up
AT1G22410	up
AT3G61150	up
AT4G30060	up
AT3G11280	up
AT5G48640	up
AT1G23060	up
AT4G23760	up
AT2G41540	up
AT3G16570	up
AT4G26590	up
