subset	ensembl_gene_id
a	ENSMUSG00000029088
a	ENSMUSG00000038658
a	ENSMUSG00000029420
a	ENSMUSG00000028876
a	ENSMUSG00000093865
a	ENSMUSG00000035476
a	ENSMUSG00000002228
a	ENSMUSG00000036964
a	ENSMUSG00000062151
a	ENSMUSG00000032131
a	ENSMUSG00000021313
a	ENSMUSG00000033871
a	ENSMUSG00000033319
a	ENSMUSG00000025195
a	ENSMUSG00000024900
a	ENSMUSG00000030276
a	ENSMUSG00000066892
a	ENSMUSG00000094595
a	ENSMUSG00000024210
a	ENSMUSG00000039158
a	ENSMUSG00000024835
a	ENSMUSG00000042535
a	ENSMUSG00000020866
a	ENSMUSG00000024924
a	ENSMUSG00000025515
a	ENSMUSG00000028137
a	ENSMUSG00000028832
a	ENSMUSG00000027238
a	ENSMUSG00000037012
a	ENSMUSG00000040865
a	ENSMUSG00000068323
a	ENSMUSG00000040364
a	ENSMUSG00000032120
a	ENSMUSG00000032294
a	ENSMUSG00000054057
a	ENSMUSG00000029276
a	ENSMUSG00000046404
a	ENSMUSG00000038174
a	ENSMUSG00000054280
a	ENSMUSG00000022416
a	ENSMUSG00000025171
a	ENSMUSG00000039205
a	ENSMUSG00000024519
a	ENSMUSG00000030055
a	ENSMUSG00000022708
a	ENSMUSG00000071654
a	ENSMUSG00000054580
a	ENSMUSG00000048483
a	ENSMUSG00000021832
a	ENSMUSG00000057132
a	ENSMUSG00000053519
a	ENSMUSG00000031613
a	ENSMUSG00000032064
a	ENSMUSG00000024556
a	ENSMUSG00000051413
a	ENSMUSG00000063524
a	ENSMUSG00000042453
a	ENSMUSG00000031393
a	ENSMUSG00000021796
a	ENSMUSG00000040250
a	ENSMUSG00000016664
a	ENSMUSG00000095241
a	ENSMUSG00000046456
a	ENSMUSG00000020062
a	ENSMUSG00000025733
a	ENSMUSG00000026163
a	ENSMUSG00000030287
a	ENSMUSG00000059674
a	ENSMUSG00000023050
a	ENSMUSG00000023267
a	ENSMUSG00000036990
a	ENSMUSG00000049537
a	ENSMUSG00000113262
a	ENSMUSG00000089736
a	ENSMUSG00000042581
a	ENSMUSG00000111662
a	ENSMUSG00000055407
a	ENSMUSG00000070570
a	ENSMUSG00000048281
a	ENSMUSG00000021831
a	ENSMUSG00000024120
a	ENSMUSG00000033526
a	ENSMUSG00000110218
a	ENSMUSG00000096696
a	ENSMUSG00000030189
a	ENSMUSG00000045193
a	ENSMUSG00000071748
a	ENSMUSG00000018199
a	ENSMUSG00000052151
a	ENSMUSG00000043460
a	ENSMUSG00000039662
a	ENSMUSG00000019920
a	ENSMUSG00000002109
a	ENSMUSG00000073557
a	ENSMUSG00000021359
a	ENSMUSG00000038276
a	ENSMUSG00000111928
a	ENSMUSG00000106631
a	ENSMUSG00000041193
a	ENSMUSG00000020290
a	ENSMUSG00000036585
a	ENSMUSG00000029822
a	ENSMUSG00000027799
a	ENSMUSG00000112049
a	ENSMUSG00000029524
a	ENSMUSG00000110622
a	ENSMUSG00000020672
a	ENSMUSG00000091844
a	ENSMUSG00000026456
a	ENSMUSG00000024045
a	ENSMUSG00000029439
a	ENSMUSG00000012422
a	ENSMUSG00000021613
a	ENSMUSG00000032463
a	ENSMUSG00000042606
a	ENSMUSG00000017737
a	ENSMUSG00000029797
a	ENSMUSG00000040554
a	ENSMUSG00000033295
a	ENSMUSG00000049076
a	ENSMUSG00000034187
a	ENSMUSG00000029053
a	ENSMUSG00000069372
a	ENSMUSG00000030533
a	ENSMUSG00000113388
a	ENSMUSG00000032890
a	ENSMUSG00000033530
a	ENSMUSG00000032525
a	ENSMUSG00000061331
a	ENSMUSG00000027259
a	ENSMUSG00000078619
a	ENSMUSG00000035513
a	ENSMUSG00000032743
a	ENSMUSG00000056596
a	ENSMUSG00000024982
a	ENSMUSG00000037161
a	ENSMUSG00000029108
a	ENSMUSG00000025019
a	ENSMUSG00000029304
a	ENSMUSG00000043903
a	ENSMUSG00000106864
a	ENSMUSG00000048142
a	ENSMUSG00000027677
a	ENSMUSG00000021983
a	ENSMUSG00000009731
a	ENSMUSG00000027071
a	ENSMUSG00000030522
a	ENSMUSG00000046876
a	ENSMUSG00000047921
a	ENSMUSG00000037977
a	ENSMUSG00000038766
a	ENSMUSG00000013367
a	ENSMUSG00000038550
a	ENSMUSG00000046743
a	ENSMUSG00000029106
a	ENSMUSG00000023572
a	ENSMUSG00000012187
a	ENSMUSG00000037341
a	ENSMUSG00000061527
a	ENSMUSG00000029663
a	ENSMUSG00000038538
a	ENSMUSG00000082415
a	ENSMUSG00000073079
a	ENSMUSG00000118667
a	ENSMUSG00000112557
a	ENSMUSG00000005871
a	ENSMUSG00000037613
a	ENSMUSG00000031755
a	ENSMUSG00000041879
a	ENSMUSG00000050822
a	ENSMUSG00000025739
a	ENSMUSG00000027293
a	ENSMUSG00000029442
a	ENSMUSG00000040373
a	ENSMUSG00000025332
a	ENSMUSG00000002748
a	ENSMUSG00000075600
a	ENSMUSG00000074862
a	ENSMUSG00000048834
a	ENSMUSG00000041598
a	ENSMUSG00000042225
a	ENSMUSG00000030554
a	ENSMUSG00000028364
a	ENSMUSG00000068748
a	ENSMUSG00000039860
a	ENSMUSG00000046020
a	ENSMUSG00000027605
a	ENSMUSG00000059772
a	ENSMUSG00000020255
a	ENSMUSG00000021670
a	ENSMUSG00000029804
a	ENSMUSG00000041258
a	ENSMUSG00000042050
a	ENSMUSG00000055026
a	ENSMUSG00000074272
a	ENSMUSG00000070368
a	ENSMUSG00000018379
a	ENSMUSG00000059866
a	ENSMUSG00000035274
a	ENSMUSG00000043036
a	ENSMUSG00000026915
a	ENSMUSG00000036339
a	ENSMUSG00000029452
a	ENSMUSG00000047036
a	ENSMUSG00000050930
a	ENSMUSG00000029632
a	ENSMUSG00000074909
a	ENSMUSG00000036760
a	ENSMUSG00000022855
a	ENSMUSG00000058975
a	ENSMUSG00000028661
a	ENSMUSG00000047888
a	ENSMUSG00000019082
a	ENSMUSG00000037857
a	ENSMUSG00000107476
a	ENSMUSG00000060733
a	ENSMUSG00000032702
a	ENSMUSG00000038070
a	ENSMUSG00000074037
a	ENSMUSG00000022257
a	ENSMUSG00000020263
a	ENSMUSG00000028461
a	ENSMUSG00000025159
a	ENSMUSG00000050343
a	ENSMUSG00000079083
a	ENSMUSG00000025420
a	ENSMUSG00000027273
a	ENSMUSG00000054256
a	ENSMUSG00000028910
a	ENSMUSG00000026637
a	ENSMUSG00000009739
a	ENSMUSG00000049744
a	ENSMUSG00000025380
